================================================================================
SCHEMA
--------------------------------------------------------------------------------
ENTITY TYPES: 22 types
  Abbreviation
  AlternativeName
  Application_Creation
  Application_Deposition
  Application_Mention
  Application_Usage
  Citation
  Developer
  Extension
  License
  OperatingSystem_Mention
  OperatingSystem_Usage
  PlugIn_Creation
  PlugIn_Deposition
  PlugIn_Mention
  PlugIn_Usage
  ProgrammingEnvironment_Mention
  ProgrammingEnvironment_Usage
  Release
  SoftwareCoreference_Deposition
  URL
  Version
--------------------------------------------------------------------------------
RELATION TYPES: 11 types
  Abbreviation_of(
    Abbreviation|Application_Creation|Application_Deposition|Application_Mention|Application_Usage|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|Developer|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  AlternativeName_of(
    AlternativeName|Application_Creation|Application_Deposition|Application_Mention|Application_Usage|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|Developer|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  Citation_of(
    Citation,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage|SoftwareCoreference_Deposition
  )
  Developer_of(
    Developer,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  Extension_of(
    Extension,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  License_of(
    License,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage|SoftwareCoreference_Deposition
  )
  PlugIn_of(
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  Release_of(
    Release,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  Specification_of(
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  URL_of(
    URL,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|Developer|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage|SoftwareCoreference_Deposition
  )
  Version_of(
    Version,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage|SoftwareCoreference_Deposition
  )
================================================================================
train/Creation_sentences: 66 units
  PMC1283974:    862 chars, 14 entities,  5 relations
  PMC5224787:     84 chars,  4 entities,  3 relations
  PMC5240969:    137 chars,  3 entities,  2 relations
  PMC5295697:     50 chars,  2 entities,  1 relations
  PMC5340351:     77 chars,  2 entities,  1 relations
  PMC5367715:    148 chars,  4 entities,  2 relations
  PMC5381894:    250 chars,  2 entities,  1 relations
  PMC5383158:     64 chars,  2 entities,  1 relations
  PMC5462428:     76 chars,  3 entities,  2 relations
  PMC5526526:    242 chars,  5 entities,  3 relations
  PMC5568325:    144 chars,  4 entities,  2 relations
  PMC5604938:     82 chars,  3 entities,  2 relations
  PMC5614435:     67 chars,  3 entities,  2 relations
  PMC5619748:     45 chars,  2 entities,  1 relations
  PMC5624630:     83 chars,  4 entities,  2 relations
  PMC5627922:    245 chars,  1 entities,  0 relations
  PMC5656308:    210 chars,  2 entities,  1 relations
  PMC5659643:    101 chars,  3 entities,  2 relations
  PMC5663327:     82 chars,  2 entities,  1 relations
  PMC5685471:     53 chars,  2 entities,  1 relations
  PMC5730220:     37 chars,  2 entities,  1 relations
  PMC5739395:     77 chars,  2 entities,  1 relations
  PMC5749804:    254 chars, 14 entities, 10 relations
  PMC5755759:     69 chars,  4 entities,  2 relations
  PMC5783378:    176 chars,  1 entities,  0 relations
  PMC5784985:     44 chars,  2 entities,  1 relations
  PMC5841764:    126 chars,  1 entities,  0 relations
  PMC5865738:    101 chars,  3 entities,  2 relations
  PMC5874061:     58 chars,  2 entities,  1 relations
  PMC5886550:    117 chars,  2 entities,  1 relations
  PMC5895061:    152 chars,  2 entities,  1 relations
  PMC5908082:     88 chars,  5 entities,  3 relations
  PMC5957384:    136 chars,  3 entities,  2 relations
  PMC5967734:     94 chars,  3 entities,  2 relations
  PMC5967750:     90 chars,  5 entities,  3 relations
  PMC5969737:     93 chars,  4 entities,  3 relations
  PMC5991380:    203 chars,  4 entities,  2 relations
  PMC6005473:     86 chars,  3 entities,  2 relations
  PMC6013225:    107 chars,  3 entities,  2 relations
  PMC6034840:     64 chars,  2 entities,  1 relations
  PMC6049919:    129 chars,  3 entities,  2 relations
  PMC6051569:    112 chars,  3 entities,  2 relations
  PMC6061992:     56 chars,  2 entities,  1 relations
  PMC6062088:     98 chars,  3 entities,  1 relations
  PMC6095578:    102 chars,  2 entities,  0 relations
  PMC6114278:     54 chars,  3 entities,  2 relations
  PMC6147632:     80 chars,  5 entities,  3 relations
  PMC6179202:    155 chars,  2 entities,  1 relations
  PMC6185862:     91 chars,  4 entities,  2 relations
  PMC6197659:    154 chars,  3 entities,  2 relations
  PMC6200203:    164 chars,  2 entities,  1 relations
  PMC6211737:     96 chars,  4 entities,  2 relations
  PMC6312285:     60 chars,  2 entities,  1 relations
  PMC6328181:    100 chars,  7 entities,  3 relations
================================================================================
train/Pubmed_fulltext: 60 units
  PMC2790482:  62135 chars, 35 entities, 19 relations
  PMC2936424:  23620 chars,  2 entities,  1 relations
  PMC3071738:  18699 chars,  2 entities,  1 relations
  PMC3120364:   3103 chars, 18 entities,  9 relations
  PMC3167763:  23920 chars,  4 entities,  3 relations
  PMC3187606:  60814 chars,  0 entities,  0 relations
  PMC3224237:  30017 chars,  0 entities,  0 relations
  PMC3320279:    335 chars,  0 entities,  0 relations
  PMC3437120:  18028 chars,  0 entities,  0 relations
  PMC3512794:   2304 chars,  0 entities,  0 relations
  PMC3561110:  15536 chars,  0 entities,  0 relations
  PMC3568080:  26727 chars, 13 entities,  8 relations
  PMC3623473:  19939 chars,  7 entities,  1 relations
  PMC3705362:  34102 chars,  2 entities,  0 relations
  PMC3721944:  16423 chars,  3 entities,  1 relations
  PMC3747095:  26381 chars,  0 entities,  0 relations
  PMC3781520:  18242 chars,  0 entities,  0 relations
  PMC3794969:  30244 chars,  5 entities,  2 relations
  PMC4100254:   7300 chars,  0 entities,  0 relations
  PMC4175729:  23446 chars,  3 entities,  2 relations
  PMC4183953:  45561 chars, 27 entities, 10 relations
  PMC4468325:  35530 chars, 24 entities,  8 relations
  PMC4470332:  31144 chars, 29 entities, 16 relations
  PMC4502071:  36674 chars,  2 entities,  1 relations
  PMC4623726:  23226 chars,  2 entities,  1 relations
  PMC4643858:  49332 chars,  2 entities,  1 relations
  PMC4662706:  23257 chars,  2 entities,  1 relations
  PMC4718728:  70807 chars, 11 entities,  4 relations
  PMC4737043:    441 chars,  0 entities,  0 relations
  PMC5006964:  73643 chars,  0 entities,  0 relations
  PMC5253549:  26979 chars,  9 entities,  7 relations
  PMC5332665:      0 chars,  0 entities,  0 relations
  PMC5351064:  26311 chars,  5 entities,  2 relations
  PMC5446749:  26044 chars, 11 entities,  7 relations
  PMC5593182:  17970 chars,  2 entities,  1 relations
  PMC5690316:  24994 chars, 36 entities, 10 relations
  PMC5902404:  19729 chars,  0 entities,  0 relations
  PMC5904046:   6063 chars,  0 entities,  0 relations
  PMC5941044:  16094 chars,  5 entities,  3 relations
  PMC5991323:  32119 chars,  0 entities,  0 relations
  PMC6190357:  20001 chars,  0 entities,  0 relations
  PMC6372264:  52447 chars, 26 entities,  8 relations
  PMC6487331:  36954 chars,  5 entities,  3 relations
  PMC6498765:   4672 chars,  0 entities,  0 relations
  PMC6541987:  40976 chars, 25 entities, 13 relations
  PMC6651979:  29271 chars,  0 entities,  0 relations
  PMC6664586:  31476 chars,  6 entities,  4 relations
  PMC6721559:  30527 chars,  0 entities,  0 relations
  PMC6769648:    689 chars,  0 entities,  0 relations
  PMC6773754:  24396 chars, 16 entities, 10 relations
  PMC6910861:  21840 chars, 31 entities, 15 relations
  PMC6944514:  22536 chars,  0 entities,  0 relations
  PMC7118005:  22887 chars,  4 entities,  3 relations
  PMC7143136:  19768 chars,  0 entities,  0 relations
  PMC7150319: 146211 chars,  0 entities,  0 relations
  PMC7177638:  45540 chars,  7 entities,  4 relations
  PMC7251557:  13005 chars,  0 entities,  0 relations
  PMC7331121:  22390 chars,  7 entities,  5 relations
  PMC7504728:  15706 chars,  0 entities,  0 relations
  PMC7519650:  50457 chars, 76 entities, 39 relations
================================================================================
devel/Pubmed_fulltext: 20 units
  PMC3106454:   2648 chars,  0 entities,  0 relations
  PMC3245656:    529 chars,  0 entities,  0 relations
  PMC3639350:  29573 chars,  0 entities,  0 relations
  PMC4072059:  35030 chars, 16 entities,  9 relations
  PMC4090832:  11336 chars,  0 entities,  0 relations
  PMC4122196:  13765 chars,  0 entities,  0 relations
  PMC5168472:  11316 chars,  0 entities,  0 relations
  PMC5273844:  31674 chars,  0 entities,  0 relations
  PMC5365064:  26628 chars,  0 entities,  0 relations
  PMC5478624:  23473 chars,  6 entities,  0 relations
  PMC5579545:  19115 chars,  0 entities,  0 relations
  PMC5869224:   7293 chars,  1 entities,  0 relations
  PMC5939909:  18894 chars,  5 entities,  3 relations
  PMC6411919:  38956 chars, 52 entities, 25 relations
  PMC7072535:  27230 chars, 25 entities, 15 relations
  PMC7258648:   1548 chars,  0 entities,  0 relations
  PMC7298014:  18135 chars, 36 entities, 22 relations
  PMC7305855:  57838 chars,  0 entities,  0 relations
  PMC7474915:   3622 chars,  0 entities,  0 relations
  PMC7548573:   3195 chars,  0 entities,  0 relations
================================================================================
test/Pubmed_fulltext: 20 units
  PMC1240430:      0 chars,  0 entities,  0 relations
  PMC3289918:   7233 chars, 20 entities,  4 relations
  PMC4093161:  22245 chars,  4 entities,  3 relations
  PMC4213368:  23758 chars,  0 entities,  0 relations
  PMC4255417:  22613 chars,  6 entities,  2 relations
  PMC4461773:  24210 chars,  4 entities,  2 relations
  PMC4484448:  38441 chars, 31 entities, 19 relations
  PMC4996584:  11929 chars,  0 entities,  0 relations
  PMC5230193:      0 chars,  0 entities,  0 relations
  PMC5968553:  27184 chars, 11 entities,  7 relations
  PMC6017189:  26843 chars, 21 entities, 10 relations
  PMC6627141:  36216 chars, 15 entities,  9 relations
  PMC6719071:  29297 chars, 22 entities, 12 relations
  PMC6737803:  19703 chars,  8 entities,  5 relations
  PMC7057420:  20721 chars,  0 entities,  0 relations
  PMC7098419:  15676 chars,  7 entities,  4 relations
  PMC7471053:  10549 chars,  4 entities,  2 relations
  PMC7576861:  21149 chars,  4 entities,  2 relations
  PMC7598519:  21607 chars,  9 entities,  5 relations
  PMC7641733:  40690 chars,  6 entities,  4 relations
