================================================================================
sample: 50 units
  10471277: 2232 chars,  43 entity mentions, 20 relations
  23495999: 1630 chars,  22 entity mentions,  0 relations
  23497878: 1066 chars,   8 entity mentions,  0 relations
  23499825:  924 chars,   6 entity mentions,  1 relations
  23500058: 1675 chars,  18 entity mentions,  0 relations
  23500387: 1682 chars,  21 entity mentions,  6 relations
  23500491: 1595 chars,  24 entity mentions,  7 relations
  23500550: 1430 chars,  21 entity mentions,  3 relations
  23504356: 1088 chars,   4 entity mentions,  0 relations
  23510370: 2413 chars,  26 entity mentions,  0 relations
  23511016:  922 chars,  11 entity mentions,  9 relations
  23511125: 1929 chars,  25 entity mentions,  1 relations
  23511711: 1374 chars,  20 entity mentions,  4 relations
  23512501: 1726 chars,  19 entity mentions,  0 relations
  23512537: 1712 chars,  23 entity mentions,  8 relations
  23512754: 1500 chars,  21 entity mentions,  9 relations
  23517558: 1584 chars,   8 entity mentions,  2 relations
  23517733: 1247 chars,  21 entity mentions,  0 relations
  23519149: 1519 chars,  29 entity mentions,  5 relations
  23521495: 1172 chars,   5 entity mentions,  0 relations
  23523780: 1739 chars,  12 entity mentions,  2 relations
  23523781: 2528 chars,  24 entity mentions,  0 relations
  23524567: 1944 chars,   6 entity mentions,  0 relations
  23525167:  973 chars,   9 entity mentions,  0 relations
  23526814: 1214 chars,  15 entity mentions, 12 relations
  23528299:  622 chars,  10 entity mentions,  5 relations
  23530959: 1283 chars,  15 entity mentions,  1 relations
  23535337: 1352 chars,  31 entity mentions,  4 relations
  23536314: 1667 chars,  14 entity mentions,  2 relations
  23537661: 1880 chars,  18 entity mentions,  3 relations
  23537702: 1622 chars,   8 entity mentions,  0 relations
  23538201: 1638 chars,  29 entity mentions,  1 relations
  23541399: 1063 chars,   7 entity mentions,  0 relations
  23541670:  696 chars,  11 entity mentions,  4 relations
  23542114:  962 chars,  13 entity mentions,  5 relations
  23545458: 1619 chars,  11 entity mentions,  0 relations
  23546605: 2120 chars,  29 entity mentions,  0 relations
  23547843: 1581 chars,  16 entity mentions,  0 relations
  23556445: 1621 chars,  13 entity mentions,  1 relations
  23558678: 1753 chars,  18 entity mentions,  0 relations
  23561166: 1223 chars,  20 entity mentions,  8 relations
  23562060:  865 chars,  21 entity mentions, 14 relations
  23562076: 1188 chars,  20 entity mentions,  0 relations
  23567041: 2783 chars,   7 entity mentions,  0 relations
  23567243:  997 chars,  19 entity mentions,  5 relations
  23570998: 1471 chars,  24 entity mentions,  7 relations
  23572520: 1647 chars,  21 entity mentions,  3 relations
  23578993: 2155 chars,  54 entity mentions, 13 relations
  23583258: 2030 chars,  30 entity mentions, 16 relations
  23585333:  565 chars,   8 entity mentions,  0 relations
  23585555: 1797 chars,  11 entity mentions,  0 relations
  23588308: 1316 chars,  14 entity mentions,  1 relations
  23588312: 1284 chars,  22 entity mentions,  8 relations
  23589329: 1531 chars,  32 entity mentions, 17 relations
  23591044: 1562 chars,  53 entity mentions, 20 relations
  23597507: 1772 chars,  23 entity mentions,  1 relations
  23598363: 2294 chars,  52 entity mentions, 34 relations
  23598904: 1320 chars,  31 entity mentions,  8 relations
  23601700: 1598 chars,  25 entity mentions,  0 relations
  23601710:  924 chars,  11 entity mentions,  4 relations
  23602986: 1418 chars,  25 entity mentions,  0 relations
  23603059: 1469 chars,  29 entity mentions,  8 relations
  23603382: 1429 chars,  20 entity mentions, 10 relations
  23604720: 1372 chars,  20 entity mentions,  3 relations
  23604819: 1418 chars,   8 entity mentions,  0 relations
  23606243: 1067 chars,   9 entity mentions,  0 relations
  23608239: 2023 chars,  24 entity mentions,  0 relations
  23608535: 1579 chars,  30 entity mentions,  0 relations
  23611809: 1901 chars,  48 entity mentions, 46 relations
  23611835: 1942 chars,  22 entity mentions,  6 relations
  23614643: 1792 chars,  23 entity mentions,  2 relations
  23615471: 1206 chars,  39 entity mentions, 23 relations
  23618921: 1781 chars,  40 entity mentions,  8 relations
  23621358: 1243 chars,  21 entity mentions,  0 relations
  23623750: 1897 chars,  50 entity mentions, 20 relations
  23625813: 2585 chars,   4 entity mentions,  0 relations
  23625910: 1917 chars,  33 entity mentions,  0 relations
  23625915: 1708 chars,  55 entity mentions, 12 relations
  23628454: 1993 chars,  20 entity mentions,  0 relations
  23628605: 1644 chars,  32 entity mentions,  2 relations
  23631440: 1282 chars,  21 entity mentions,  8 relations
  23633618: 1326 chars,  11 entity mentions,  3 relations
  23638842: 1508 chars,  18 entity mentions,  8 relations
  23639191: 2268 chars,  46 entity mentions, 16 relations
  23639249: 1509 chars,  30 entity mentions, 23 relations
  23639586: 1565 chars,  16 entity mentions,  0 relations
  23639626: 2122 chars,  36 entity mentions, 16 relations
  23644200: 1003 chars,  10 entity mentions,  0 relations
   2386945: 2360 chars,  49 entity mentions, 12 relations
   2506486: 1484 chars,  44 entity mentions,  8 relations
   2554783:  829 chars,   6 entity mentions,  0 relations
   2751392: 1020 chars,  17 entity mentions,  0 relations
   2832297:  858 chars,  18 entity mentions,  5 relations
   2857786: 1740 chars,  21 entity mentions,  7 relations
   2891463: 1791 chars,  28 entity mentions,  3 relations
   2994716: 1789 chars,  11 entity mentions,  0 relations
   3004987: 2080 chars,  11 entity mentions,  0 relations
   3094574: 1840 chars,  37 entity mentions, 10 relations
   3146348: 1383 chars,  27 entity mentions, 17 relations
   3812589: 1228 chars,  16 entity mentions,  0 relations
   6725552: 1901 chars,  40 entity mentions,  0 relations
   7500004: 2068 chars,  38 entity mentions,  5 relations
   7516184: 1507 chars,  33 entity mentions,  4 relations
   7554708: 1820 chars,  32 entity mentions,  9 relations
   7601910: 1534 chars,  24 entity mentions,  0 relations
   7703721:  964 chars,  11 entity mentions,  0 relations
   7714410: 1645 chars,  25 entity mentions,  2 relations
   7756657: 1525 chars,  13 entity mentions,  1 relations
   7825862: 2000 chars,  36 entity mentions,  9 relations
   7902561: 1256 chars,  20 entity mentions,  1 relations
   8032658: 3116 chars,  71 entity mentions, 23 relations
   8150771: 1659 chars,  23 entity mentions,  2 relations
   8294418: 1344 chars,  37 entity mentions, 20 relations
   8384716: 2070 chars,  46 entity mentions,  9 relations
   8425287: 2756 chars,  42 entity mentions,  5 relations
   8566141:  790 chars,  33 entity mentions, 14 relations
   8697470: 3787 chars,  42 entity mentions,  4 relations
   8710929: 1754 chars,  21 entity mentions,  5 relations
   8733007: 1806 chars,  21 entity mentions,  6 relations
   8740147: 2747 chars,  58 entity mentions, 18 relations
   8836617: 1457 chars,  25 entity mentions,  8 relations
   9486667: 2074 chars,  41 entity mentions, 21 relations
   9521275:  523 chars,  10 entity mentions,  2 relations
   9525919: 1718 chars,  26 entity mentions, 14 relations
   9596079: 2106 chars,  28 entity mentions,  0 relations
   9631585: 1223 chars,  12 entity mentions,  6 relations
   9673855: 2580 chars,  41 entity mentions,  7 relations
   9710435: 2123 chars,  35 entity mentions, 11 relations
   9832994: 1883 chars,  28 entity mentions,  8 relations
   9851542: 2048 chars,  37 entity mentions, 10 relations
   9876137: 1492 chars,  23 entity mentions,  7 relations
================================================================================
test: 800 units
  10076535: 2675 chars,  63 entity mentions, 21 relations
  10089512: 1012 chars,   6 entity mentions,  1 relations
  10201371: 1448 chars,   9 entity mentions,  0 relations
  10220509: 1415 chars,  18 entity mentions,  6 relations
  10351938: 1684 chars,  36 entity mentions, 19 relations
  10424850: 1084 chars,  19 entity mentions,  5 relations
  10510456: 1530 chars,  17 entity mentions,  4 relations
  10516958: 1935 chars,  41 entity mentions, 16 relations
  10548268: 1570 chars,  36 entity mentions,  7 relations
  10561120: 1088 chars,   8 entity mentions,  1 relations
  10577279:  928 chars,  13 entity mentions,  6 relations
  10587286: 2409 chars,  32 entity mentions,  8 relations
  10593931: 1502 chars,  34 entity mentions,  7 relations
  10611634: 2459 chars,  84 entity mentions, 44 relations
  10640321: 1589 chars,  32 entity mentions, 17 relations
  10643177:  561 chars,   5 entity mentions,  4 relations
  10658902: 2796 chars,  52 entity mentions, 15 relations
  10662748: 1939 chars,  16 entity mentions,  3 relations
  10665814: 1551 chars,  27 entity mentions,  6 relations
  10673876: 1922 chars,  20 entity mentions,  1 relations
  10682715: 2730 chars,  27 entity mentions,  4 relations
  10701840: 1460 chars,  31 entity mentions, 19 relations
  10709635:  785 chars,  18 entity mentions,  7 relations
  10727528: 1482 chars,  37 entity mentions, 24 relations
  10755406: 1726 chars,  34 entity mentions,  9 relations
  10768100: 1924 chars,  21 entity mentions,  8 relations
  10771044: 1793 chars,  26 entity mentions,  8 relations
  10831596: 1813 chars,  43 entity mentions,  2 relations
  10907719: 1754 chars,  29 entity mentions, 12 relations
  10909982: 2359 chars,  36 entity mentions, 20 relations
  10935465: 1569 chars,  17 entity mentions,  0 relations
  10953053: 1782 chars,  29 entity mentions,  1 relations
  10980326: 2968 chars,  36 entity mentions,  5 relations
  11006278: 1891 chars,  24 entity mentions, 11 relations
  11054378: 2061 chars,  50 entity mentions, 24 relations
  11078056: 2208 chars,  35 entity mentions, 25 relations
  11106255: 2364 chars,  31 entity mentions,  7 relations
  11141093:  977 chars,  17 entity mentions,  6 relations
  11155778:  949 chars,  11 entity mentions,  0 relations
  11161433: 1542 chars,  14 entity mentions,  3 relations
  11181577: 1288 chars,  15 entity mentions,  2 relations
  11212269: 1550 chars,  18 entity mentions,  4 relations
  11255924: 1874 chars,  28 entity mentions,  3 relations
  11292635: 1472 chars,  37 entity mentions, 10 relations
  11344206: 1386 chars,  11 entity mentions,  1 relations
  11350861: 1770 chars,  41 entity mentions, 16 relations
  11369259: 1126 chars,  24 entity mentions, 16 relations
  11398914: 3403 chars,  41 entity mentions,  7 relations
  11456284: 1365 chars,  12 entity mentions,  4 relations
  11474486: 1766 chars,  41 entity mentions, 15 relations
  11513839: 1887 chars,  36 entity mentions,  0 relations
  11544332: 1390 chars,  31 entity mentions,  2 relations
  11551210: 1616 chars,  29 entity mentions,  5 relations
  11587223: 1671 chars,  25 entity mentions,  7 relations
  11588409: 1691 chars,  26 entity mentions,  7 relations
  11688549:  775 chars,  20 entity mentions,  2 relations
  11689471: 1439 chars,  27 entity mentions,  9 relations
  11691635: 1362 chars,  11 entity mentions,  4 relations
  11695255: 1582 chars,  28 entity mentions, 14 relations
  11698075:  934 chars,  19 entity mentions,  2 relations
  11775064: 1547 chars,  39 entity mentions, 12 relations
  11811354: 1665 chars,  39 entity mentions, 14 relations
  11858481: 2324 chars,  10 entity mentions,  0 relations
  11885959: 1349 chars,  20 entity mentions, 24 relations
  11922402: 1475 chars,  25 entity mentions, 13 relations
  12016548: 2037 chars,  19 entity mentions,  0 relations
  12046981: 2008 chars,  22 entity mentions,  5 relations
  12057823: 1538 chars,  21 entity mentions,  2 relations
  12070353: 1302 chars,  20 entity mentions,  7 relations
  12085361: 2081 chars,  59 entity mentions, 40 relations
  12086935: 1585 chars,  30 entity mentions, 12 relations
  12105857: 1976 chars,  31 entity mentions,  7 relations
  12141946: 1948 chars,  47 entity mentions, 20 relations
  12165285: 1577 chars,  26 entity mentions,  4 relations
  12167474: 2098 chars,  54 entity mentions,  9 relations
  12175785: 1714 chars,  20 entity mentions,  1 relations
  12181285: 2241 chars,  48 entity mentions, 23 relations
  12200198: 1677 chars,  30 entity mentions, 11 relations
  12213119: 2262 chars,  24 entity mentions,  4 relations
  12227806:  802 chars,  11 entity mentions,  2 relations
  12297509: 2376 chars,  59 entity mentions,  0 relations
  12375053: 1400 chars,   8 entity mentions,  2 relations
  12388412: 2085 chars,  36 entity mentions,  3 relations
  12414329: 1858 chars,  27 entity mentions,  9 relations
  12421359: 1447 chars,  37 entity mentions, 14 relations
  12438517: 1642 chars,  23 entity mentions,  6 relations
  12470615: 1222 chars,  32 entity mentions, 21 relations
  12472888: 1670 chars,  39 entity mentions, 15 relations
  12487427: 2292 chars,  90 entity mentions, 41 relations
  12513698: 1657 chars,  38 entity mentions,  0 relations
  12604879: 2182 chars,   7 entity mentions,  0 relations
  12636181: 1367 chars,  21 entity mentions, 15 relations
  12710892: 1734 chars,  20 entity mentions,  6 relations
  12719755: 1268 chars,  13 entity mentions,  3 relations
  12720300: 3185 chars,  45 entity mentions,  1 relations
   1279186: 2462 chars,   8 entity mentions,  0 relations
  12842269: 1698 chars,  38 entity mentions, 16 relations
  12852767: 1014 chars,  11 entity mentions,  0 relations
  12897749: 2064 chars,  53 entity mentions,  8 relations
  12942109: 1398 chars,  14 entity mentions,  9 relations
   1322047: 1317 chars,  17 entity mentions,  7 relations
   1356794:  789 chars,  19 entity mentions,  6 relations
  14596599: 2183 chars,  52 entity mentions, 30 relations
  14633707: 1971 chars,  45 entity mentions, 10 relations
  14660028: 1607 chars,  24 entity mentions,  6 relations
  14716684: 1918 chars,  25 entity mentions,  5 relations
  14730417: 1873 chars,  35 entity mentions, 21 relations
  14733708: 2077 chars,  49 entity mentions,  0 relations
  14734046: 1241 chars,  30 entity mentions,  6 relations
  14741265:  490 chars,  10 entity mentions,  3 relations
  14751502: 2427 chars,  44 entity mentions, 18 relations
  14753499: 1134 chars,  11 entity mentions,  0 relations
  14871885: 1600 chars,  28 entity mentions, 11 relations
  14993281: 2764 chars,  65 entity mentions, 22 relations
  15002740: 1165 chars,  24 entity mentions,  8 relations
  15030294: 1178 chars,  15 entity mentions,  4 relations
  15060759: 1954 chars,  37 entity mentions,  9 relations
  15072849: 1260 chars,  21 entity mentions, 10 relations
  15095008: 1041 chars,  15 entity mentions,  0 relations
  15133856: 2645 chars,  43 entity mentions, 16 relations
  15184278: 1870 chars,  36 entity mentions,  4 relations
  15191400: 1362 chars,  17 entity mentions,  4 relations
  15206110: 3144 chars,  40 entity mentions, 11 relations
  15210974: 1599 chars,  26 entity mentions,  9 relations
  15240758: 1886 chars,  25 entity mentions,  8 relations
  15255990: 1683 chars,  12 entity mentions,  2 relations
  15286093: 1836 chars,  28 entity mentions,  8 relations
  15352500: 1690 chars,  14 entity mentions,  1 relations
  15353299: 2809 chars,  32 entity mentions, 24 relations
  15382615: 1545 chars,  14 entity mentions,  1 relations
  15465654: 1587 chars,  27 entity mentions,  9 relations
  15494548: 2161 chars,  42 entity mentions, 21 relations
  15498586: 1044 chars,  23 entity mentions,  9 relations
  15557128: 1893 chars,  14 entity mentions,  4 relations
  15577244:  942 chars,   8 entity mentions,  2 relations
  15646817: 2320 chars,  45 entity mentions, 14 relations
  15655513: 1632 chars,  33 entity mentions, 20 relations
  15664409: 2080 chars,  27 entity mentions,  2 relations
  15704203: 2631 chars,  22 entity mentions,  5 relations
  15723099: 1912 chars,  42 entity mentions, 16 relations
  15740719: 2108 chars,  62 entity mentions, 15 relations
  15772097: 1267 chars,  19 entity mentions,  0 relations
  15795105: 1121 chars,  25 entity mentions,  8 relations
  15805545: 1601 chars,  21 entity mentions,  0 relations
  15866500: 2317 chars,  27 entity mentions, 11 relations
  15887238: 2030 chars,  51 entity mentions, 27 relations
  15894928: 1134 chars,  23 entity mentions,  8 relations
   1590750: 1820 chars,  31 entity mentions, 10 relations
  15936988: 1192 chars,  35 entity mentions, 18 relations
  15939622:  821 chars,  23 entity mentions, 20 relations
  15942707: 2424 chars,  45 entity mentions, 19 relations
  15946589:  884 chars,  21 entity mentions, 29 relations
  15947036: 1607 chars,  34 entity mentions, 14 relations
  15975002: 2026 chars,  32 entity mentions, 13 relations
  15985434: 1434 chars,  38 entity mentions, 31 relations
  15985706: 1574 chars,  44 entity mentions, 19 relations
  15991937: 2024 chars,  27 entity mentions,  9 relations
   1611705: 1541 chars,  20 entity mentions,  5 relations
  16207494: 1445 chars,  27 entity mentions, 12 relations
  16213084: 1798 chars,  40 entity mentions, 12 relations
  16220064: 1606 chars,  17 entity mentions,  4 relations
  16245075: 1570 chars,  24 entity mentions,  4 relations
  16247743: 1597 chars,   9 entity mentions,  2 relations
  16248990: 1835 chars,  30 entity mentions,  9 relations
  16253547: 1452 chars,  26 entity mentions,  8 relations
  16324695: 1833 chars,  27 entity mentions, 14 relations
  16336752: 1651 chars,  22 entity mentions,  6 relations
  16373326: 1750 chars,  34 entity mentions, 10 relations
  16388933: 2273 chars,  41 entity mentions,  7 relations
  16418149: 1527 chars,  19 entity mentions,  6 relations
  16424790: 2537 chars,  67 entity mentions, 20 relations
  16474853: 2479 chars,  28 entity mentions, 12 relations
  16495926: 1672 chars,  22 entity mentions, 10 relations
  16513877: 1334 chars,  11 entity mentions,  0 relations
  16532916: 2134 chars,  29 entity mentions,  3 relations
  16538493: 2086 chars,  15 entity mentions,  4 relations
  16580895: 1666 chars,  16 entity mentions,  2 relations
  16599255: 1358 chars,  18 entity mentions,  4 relations
  16609060: 1623 chars,  20 entity mentions,  4 relations
  16618126: 2738 chars,  59 entity mentions, 30 relations
  16622728:  742 chars,   2 entity mentions,  0 relations
  16647263:  768 chars,  17 entity mentions,  0 relations
  16719808: 1981 chars,  33 entity mentions,  1 relations
  16729906: 1366 chars,  18 entity mentions,  2 relations
  16781459: 2232 chars,  69 entity mentions, 46 relations
  16809898: 1895 chars,  38 entity mentions,  9 relations
  16814387: 1904 chars,  10 entity mentions,  0 relations
  16843091: 1688 chars,  20 entity mentions,  7 relations
   1686208: 1230 chars,  18 entity mentions,  2 relations
  16866189: 1076 chars,   8 entity mentions,  2 relations
  16867246: 1690 chars,  14 entity mentions,  3 relations
  16879709: 1376 chars,  28 entity mentions,  3 relations
  16901402:  751 chars,  11 entity mentions,  1 relations
  16901636: 1954 chars,  31 entity mentions,  4 relations
  16902423: 1264 chars,   9 entity mentions,  0 relations
  16905533: 1459 chars,  39 entity mentions, 21 relations
   1692236: 1385 chars,  16 entity mentions,  7 relations
  16950805: 2605 chars,  29 entity mentions,  4 relations
  16964330: 2299 chars,  42 entity mentions, 12 relations
  16965760: 1625 chars,  33 entity mentions, 21 relations
  16970975: 1265 chars,  33 entity mentions,  2 relations
  16980198: 1732 chars,  24 entity mentions, 13 relations
  16982809: 1558 chars,  33 entity mentions, 14 relations
  17015817: 2321 chars,  14 entity mentions,  2 relations
  17016511: 1926 chars,  30 entity mentions,  4 relations
  17016621: 2091 chars,  22 entity mentions,  7 relations
  17033106: 2239 chars,  11 entity mentions,  7 relations
  17041099: 1590 chars,  42 entity mentions,  8 relations
  17082235: 1698 chars,  38 entity mentions, 26 relations
  17088426: 1371 chars,  21 entity mentions,  9 relations
  17089011: 3015 chars,  63 entity mentions, 13 relations
  17094978: 1814 chars,  39 entity mentions,  9 relations
  17097861: 1470 chars,  30 entity mentions,  7 relations
  17112405: 1223 chars,  32 entity mentions,  9 relations
  17119350: 1288 chars,  29 entity mentions,  9 relations
   1712335: 2821 chars,  46 entity mentions, 20 relations
  17126311: 2185 chars,  20 entity mentions,  0 relations
  17128263: 1569 chars,  40 entity mentions,  0 relations
  17138606: 1658 chars,  15 entity mentions,  2 relations
  17138644: 1688 chars,  45 entity mentions, 16 relations
  17146052: 1528 chars,  10 entity mentions,  1 relations
  17150756:  718 chars,  10 entity mentions,  0 relations
  17154506: 1243 chars,  25 entity mentions, 17 relations
  17163232: 2314 chars,  23 entity mentions,  1 relations
  17179482: 3124 chars,  27 entity mentions,  3 relations
  17181859: 1773 chars,  10 entity mentions,  0 relations
  17194211: 1313 chars,  37 entity mentions,  8 relations
  17194886: 1713 chars,  24 entity mentions,  9 relations
  17203585: 2355 chars,  50 entity mentions,  0 relations
  17207582: 1487 chars,  57 entity mentions, 32 relations
  17207992: 1560 chars,  38 entity mentions,  0 relations
  17223000: 1521 chars,  38 entity mentions, 15 relations
  17224860: 1999 chars,  33 entity mentions, 13 relations
  17229632: 1902 chars,  45 entity mentions, 36 relations
  17251323: 1768 chars,  26 entity mentions,  5 relations
  17259377: 2313 chars,  28 entity mentions, 12 relations
   1727721: 1949 chars,  35 entity mentions,  3 relations
  17289086: 1494 chars,  23 entity mentions,  6 relations
  17289088: 1665 chars,  41 entity mentions, 11 relations
  17341305: 2698 chars,  40 entity mentions, 15 relations
  17350061: 2113 chars,  42 entity mentions, 17 relations
  17352828: 1139 chars,  12 entity mentions,  2 relations
  17355872: 1080 chars,  16 entity mentions,  7 relations
  17369066: 1579 chars,  38 entity mentions,  1 relations
  17369473: 1790 chars,  59 entity mentions, 12 relations
  17381051: 1372 chars,  13 entity mentions,  0 relations
   1738111: 2651 chars,  64 entity mentions,  1 relations
  17382376: 1746 chars,  32 entity mentions, 10 relations
  17387686: 1866 chars,  23 entity mentions,  5 relations
  17403374: 1185 chars,  19 entity mentions,  6 relations
  17427197: 1809 chars,  59 entity mentions, 17 relations
  17459764: 1522 chars,  44 entity mentions, 23 relations
  17465221: 1089 chars,  12 entity mentions,  0 relations
  17472819: 3333 chars,  10 entity mentions,  3 relations
  17477831: 1440 chars,  27 entity mentions,  7 relations
  17486539: 1411 chars,  23 entity mentions,  2 relations
  17494858: 1441 chars,  10 entity mentions,  0 relations
  17498508: 1849 chars,  32 entity mentions,  3 relations
  17500228: 1511 chars,   2 entity mentions,  0 relations
  17501690:  836 chars,  16 entity mentions,  3 relations
  17504182: 1628 chars,  21 entity mentions,  1 relations
  17507169: 2113 chars,  30 entity mentions,  5 relations
  17510465: 1691 chars,  30 entity mentions,  4 relations
  17512723:  618 chars,  13 entity mentions,  1 relations
  17544870: 2224 chars,  26 entity mentions,  5 relations
  17570336: 1368 chars,  20 entity mentions,  1 relations
  17575572:  940 chars,   7 entity mentions,  2 relations
  17588565:  960 chars,  21 entity mentions, 10 relations
  17592724: 1333 chars,  27 entity mentions,  8 relations
  17596133: 1969 chars,  18 entity mentions,  0 relations
  17602574: 2700 chars,  58 entity mentions, 19 relations
  17632107: 1844 chars,  29 entity mentions, 12 relations
  17643344:  983 chars,  15 entity mentions,  4 relations
  17652763: 1920 chars,  19 entity mentions,  2 relations
  17653133: 1121 chars,  25 entity mentions, 12 relations
  17660958: 2310 chars,  20 entity mentions, 10 relations
  17662248:  993 chars,  22 entity mentions,  6 relations
  17673606: 1599 chars,  33 entity mentions, 22 relations
  17853709: 2443 chars,  48 entity mentions,  4 relations
  17935273: 2134 chars,  27 entity mentions,  9 relations
  18034539: 1463 chars,  17 entity mentions,  4 relations
  18035186: 3351 chars,  36 entity mentions,  6 relations
  18056711: 1839 chars,  40 entity mentions, 19 relations
  18081314: 2074 chars,  42 entity mentions, 21 relations
  18220763:  880 chars,   7 entity mentions,  0 relations
  18308814: 1757 chars,  25 entity mentions,  0 relations
  18393142:  838 chars,  10 entity mentions,  2 relations
  18423812: 2785 chars,  24 entity mentions,  1 relations
  18439678: 1519 chars,  34 entity mentions, 30 relations
  18574460: 2015 chars,  31 entity mentions, 12 relations
  18627212:  889 chars,  12 entity mentions,  5 relations
  18773878: 1892 chars,  29 entity mentions, 12 relations
  18954704:  701 chars,   6 entity mentions,  0 relations
  18996527: 1186 chars,  25 entity mentions, 10 relations
  19029287: 1943 chars,  40 entity mentions, 16 relations
  19039322: 1515 chars,  33 entity mentions, 12 relations
   1908244: 2289 chars,  37 entity mentions, 14 relations
   1911436: 1787 chars,  28 entity mentions, 15 relations
  19149483: 1752 chars,  56 entity mentions, 52 relations
  19300583: 1885 chars,  16 entity mentions,  3 relations
  19445548: 6235 chars,  64 entity mentions,  6 relations
  19531491: 1740 chars,  26 entity mentions, 12 relations
  19690271: 1693 chars,  19 entity mentions,  5 relations
   1978244: 2503 chars,  37 entity mentions, 18 relations
  19920913: 1459 chars,  19 entity mentions,  2 relations
  19952416: 1003 chars,  14 entity mentions,  1 relations
  19962254: 1472 chars,  29 entity mentions, 14 relations
  20022821: 1972 chars,  10 entity mentions,  0 relations
  20025554: 1984 chars,  30 entity mentions,  4 relations
  20083608: 1808 chars,  16 entity mentions,  4 relations
  20089905: 1885 chars,  35 entity mentions, 18 relations
  20135071: 1709 chars,  24 entity mentions,  3 relations
  20184869: 1191 chars,  21 entity mentions, 10 relations
  20188727: 1648 chars,  48 entity mentions, 22 relations
  20204178: 1482 chars,  38 entity mentions, 12 relations
  20223979:  941 chars,  19 entity mentions,  2 relations
  20371872: 1613 chars,  39 entity mentions,  0 relations
  20407761: 1716 chars,  22 entity mentions,  0 relations
  20448797: 1495 chars,  21 entity mentions,  1 relations
  20512796: 1849 chars,  31 entity mentions,  5 relations
  20589617: 1615 chars,  38 entity mentions,  0 relations
  20590599: 1934 chars,  23 entity mentions, 11 relations
  20600573: 1231 chars,  19 entity mentions,  6 relations
  20615127: 2303 chars,  37 entity mentions,  6 relations
  20624420: 1888 chars,  23 entity mentions,  0 relations
  20724158: 1815 chars,  17 entity mentions,  7 relations
   2087492:  878 chars,  18 entity mentions,  8 relations
  21058326: 1709 chars,  17 entity mentions,  9 relations
  21194017: 2033 chars,  21 entity mentions,  4 relations
   2120879: 1365 chars,  26 entity mentions,  8 relations
  21318872: 1510 chars,  19 entity mentions,  2 relations
  21926191: 1607 chars,  32 entity mentions, 28 relations
  21955206: 2011 chars,  30 entity mentions, 11 relations
  22064666: 1637 chars,  16 entity mentions,  5 relations
  22080037:  923 chars,  20 entity mentions,  5 relations
  22381584: 2706 chars,  42 entity mentions,  4 relations
  22391562: 1597 chars,  11 entity mentions,  2 relations
  22406476: 1923 chars,  67 entity mentions, 22 relations
  22410778: 1888 chars,  28 entity mentions,  7 relations
  22422627: 1492 chars,  28 entity mentions, 13 relations
  22475014:  450 chars,   6 entity mentions,  0 relations
  22493952: 1562 chars,  22 entity mentions,  0 relations
  22537580:  525 chars,   6 entity mentions,  0 relations
  22552008: 1533 chars,  43 entity mentions, 35 relations
  22566187: 1351 chars,  18 entity mentions,  1 relations
  22594847: 1555 chars,  20 entity mentions,  6 relations
   2262902: 1921 chars,  45 entity mentions, 17 relations
  22641218: 2391 chars,  66 entity mentions, 11 relations
  22683935: 1593 chars,  21 entity mentions,  0 relations
  22708686: 1963 chars,  43 entity mentions, 26 relations
  22718275: 1567 chars,  32 entity mentions,  0 relations
  22798249: 1330 chars,  18 entity mentions,  0 relations
  22824191: 1991 chars,  22 entity mentions,  1 relations
  22835278: 1484 chars,   6 entity mentions,  0 relations
  22862926: 1257 chars,  28 entity mentions,  0 relations
  22876943:  967 chars,  21 entity mentions,  6 relations
  22884520: 1136 chars,  23 entity mentions,  4 relations
  22898132: 1335 chars,  15 entity mentions,  0 relations
  22898212: 1189 chars,  34 entity mentions, 13 relations
  22898566: 1305 chars,  16 entity mentions,  0 relations
  22902329: 2072 chars,  39 entity mentions,  1 relations
  22918703: 1833 chars,  46 entity mentions, 11 relations
  22926699: 1821 chars,  14 entity mentions,  0 relations
  22931533:  979 chars,  15 entity mentions, 18 relations
  22931535:  686 chars,   5 entity mentions,  0 relations
  22946701: 1401 chars,   6 entity mentions,  2 relations
  22967140: 1460 chars,  36 entity mentions, 11 relations
  22981459: 1965 chars,  14 entity mentions,  3 relations
  22982206: 1783 chars,  38 entity mentions,  8 relations
  22991293: 2254 chars,  40 entity mentions,  0 relations
  22991447: 1063 chars,  25 entity mentions,  0 relations
  22992330: 1422 chars,   7 entity mentions,  0 relations
  22996137: 1209 chars,  26 entity mentions,  3 relations
  23007560: 1727 chars,  16 entity mentions,  0 relations
  23015691: 2108 chars,  40 entity mentions,  6 relations
  23017389: 1329 chars,  17 entity mentions,  0 relations
  23017415:  949 chars,   7 entity mentions,  0 relations
  23022398: 1956 chars,  18 entity mentions,  4 relations
  23024204: 1367 chars,  41 entity mentions, 21 relations
  23030680: 1465 chars,  25 entity mentions,  4 relations
  23030766: 1323 chars,  18 entity mentions,  4 relations
  23042728: 1347 chars,  24 entity mentions, 13 relations
  23042730: 1630 chars,  41 entity mentions,  2 relations
  23044488: 1934 chars,  14 entity mentions,  4 relations
  23053666: 1758 chars,  51 entity mentions,  6 relations
  23055538: 1578 chars,  20 entity mentions,  1 relations
  23056222: 1864 chars,  55 entity mentions, 32 relations
  23059626: 1573 chars,  39 entity mentions, 18 relations
